model,modal,n_images,timestamp,EN,MI,VAR,AG,SF,EI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
CDDFuse,CT,24,20260423_234239,4.686877075280939,65.71606636047363,80.77401313397034,8.75551132521167,36.53763791816673,88.05264499002838,0.8071421894714405,2.1451334979161008,0.01967106852151807,0.6711066846367005,1.5797834978330803,1.479867629409176,55.2235183322878,0.1959192863249625,0.6140993717512807,0.008815204680994006,0.4712873183084656,0.4003698813447803,0.7965370832820424,578.4458737275548,0.9258774229636902,0.7776971423783628,0.051325617745786555,0.8071421894714405,-8.584074686429581
CDDFuse,PET,24,20260423_234550,5.615261369241909,81.30991554260254,89.53463114170533,11.56211284780809,35.24338021187853,118.03154645206921,0.8106392162497976,2.5504397484101027,0.018121092486824295,0.6262605273065454,1.1181770856784976,1.4042626573134696,55.248477548916924,0.19469359170360145,0.7343875651880878,0.07398927312662879,0.6632045369346049,0.6077985078352538,0.8962209609308361,53.13294119832568,0.9564130991315073,0.7648744328763429,0.0329201656861652,0.8106392162497976,-5.291335585132882
CDDFuse,SPECT,24,20260423_234835,5.004588447373647,46.760497411092125,60.284758116291584,6.9577777427410155,22.283591337606264,70.35793384285253,0.8145233357874577,3.081451671964017,0.03298507656551624,0.6525684337221476,1.2001269029317518,1.4318334044787104,58.19675474680622,0.09945422682989112,0.758469704445443,0.16776686534250382,0.6507299092464892,0.551933833949276,0.8802187917105826,33.54733910360178,0.9853823944533534,1.0219510813028647,0.030636019557062685,0.8145233357874577,-10.807423574080715
CM-CSAMFNet,PET,24,20260423_235047,5.44914000223402,85.1981315612793,92.41894471161724,11.144775676014532,33.56557965130129,114.5456730224838,0.8103001988413746,2.486033573457057,0.017243030606076626,0.646677060238464,0.9366227425239119,1.384740732720087,55.017653442207724,0.20529450127293888,0.7650025340192995,0.04937079097728899,0.6786470085128347,0.1993076507487235,0.8956082035630638,61.61173539246022,0.9839847079376582,0.7597676696844037,0.07706029252825222,0.8103001988413746,-5.29116594121468
CM-CSAMFNet,SPECT,24,20260423_235320,5.190171717278988,62.24185562133789,76.91818797636675,6.819816307871292,21.186973096643428,70.15007488819158,0.8083711722845015,2.3557162694406846,0.030002376586173597,0.643715208796753,1.2434383817064998,1.419472961325625,55.872273393459444,0.16939208388298435,0.6931066147494871,0.03966688671471523,0.6005970479395261,0.54583108096537,0.8802260446912591,47.824499837845025,0.9397736535483766,0.7674474372848912,0.06665622539924972,0.8083711722845015,-11.56156481116607
CMMDL,CT,24,20260423_235710,5.180275181168782,73.518980662028,84.62757369668604,9.233591261695064,37.143274182850305,91.4909192720706,0.806535509014975,1.9981738349647138,0.021324705475912014,0.18896864838632035,4.173288369706764,1.2469508779113199,54.88246494591916,0.21177133141909563,0.6162417091253186,0.004836733487909643,0.44891555448834747,0.3777151879790814,0.8102399372245396,643.7395427054813,0.8030784345401424,0.68149048424544,0.040565181202926535,0.806535509014975,-8.872590292147967
CMMDL,PET,24,20260424_000112,5.896413564701315,85.91260592142741,90.99631979445148,12.022817635847963,36.256818158561636,122.00322167497582,0.8087797371164748,2.2891533896826646,0.017836805049058047,0.2604981282829609,4.873303060113792,1.2237554928309302,54.92489529746911,0.20974172928275014,0.7463649586637988,0.0271702024090995,0.5914705304410622,0.5378721638147076,0.8954888632910345,62.632944672062,0.8570622582607266,0.6682048552632263,0.008386776280894806,0.8087797371164748,-5.558271505767255
CMMDL,SPECT,24,20260424_000508,5.589349189232412,59.707404454549156,70.57408804420324,7.7553796775931785,24.228464096887535,77.90348375788567,0.8093793159466344,2.4375052173939284,0.03951889730509256,0.2611021539176868,5.320870058099342,0.9712217949839541,56.42581010920107,0.14883271499067818,0.7357958024752979,0.029413544397463114,0.553315903080011,0.4828836681098642,0.8788492385100053,48.02722252626338,0.7192559222460208,0.7544931003966097,0.060621387772705516,0.8093793159466341,-11.073627370639445
DDBFusion,CT,24,20260424_001845,4.71813736038018,55.196797688802086,66.00326393763162,6.024167350755412,25.57983344150649,60.99202103904156,0.8066392655114257,2.0432254896290405,0.004843818560368824,0.6371806157008169,1.4973515519921303,1.4763588098322107,56.03634056829646,0.16264457226957293,0.4388172326919039,0.0023908958962260067,0.3866952794113099,0.3478420062352907,0.8096916492537606,510.1669602370709,0.850608377142569,0.7397696386739302,0.3347526440042092,0.8066392655114257,-7.844061003137791
DDBFusion,PET,24,20260424_003405,5.309379606541828,57.60940488179525,74.80814495036816,7.629333425437302,26.713301078248538,77.16665453574444,0.8062202709581004,1.9486932340058474,0.008088917644111886,0.588514518484598,1.065773389868128,1.2683730193063312,55.74234078218543,0.17396043518771584,0.36684434009838246,0.001650013351039311,0.4111250714114533,0.3879906527528818,0.8934934306484306,311.3353953432384,0.7602909781716161,0.6193538342062873,0.27615018344308,0.8062202709581004,-5.480312481544881
